time,gFx,gFy,gFz
12.119,0.157,-0.0078,0.985
12.122,0.1884,0,0.9968
12.132,0.1334,-0.0118,0.9928
12.153,0.2158,-0.0196,0.985
12.256,0.0667,-0.0078,1.0046
12.259,0.208,0.0039,0.9654
12.26,0.1413,0.0078,1.0085
12.262,0.1727,-0.0196,0.9771
12.265,0.157,0,0.9811
12.267,0.1256,0.0078,0.9968
12.307,0.208,-0.0078,0.9654
12.31,0.1295,-0.0078,1.0085
12.312,0.1923,-0.0078,0.9732
12.331,0.1099,0.0039,0.9928
12.372,0.1727,-0.0078,0.9928
12.375,0.1844,0,0.9968
12.395,0.1295,-0.0078,1.0125
12.406,0.1727,0,0.9811
12.411,0.1177,-0.0039,0.9968
12.431,0.1962,-0.0039,0.9928
12.498,0.1609,0,0.9811
12.503,0.1217,-0.0118,1.0046
12.507,0.1727,-0.0078,0.985
12.511,0.1334,0.0039,1.0046
12.523,0.2001,-0.0118,0.9654
12.541,0.1217,-0.0157,1.0125
12.594,0.1413,-0.0118,0.9968
12.597,0.1727,0.0039,0.9693
12.6,0.1648,-0.0118,0.9889
12.615,0.157,-0.0157,0.9889
12.621,0.1256,0.0039,0.9928
12.694,0.1648,-0.0078,0.985
12.698,0.1805,-0.0039,0.9811
12.701,0.153,-0.0196,1.0085
